id|course_id|grade
8|6|13
8|6|13.5
8|6|16
8|6|9.5
8|6|11.5
8|6|9.5
8|5|10
8|5|8
8|5|8.5
8|5|12.5
8|10|9
8|10|9.25
8|10|9.25
8|10|5
8|10|4.5
8|10|8.5
8|10|6
8|10|13.75
8|3|2
8|3|9
8|3|11.5
8|3|3.5
8|3|8.5
8|3|9
8|3|12
8|3|9
8|3|8
8|4|7.5
8|4|9.5
8|4|8.5
8|4|10
8|4|2.5
8|4|14
8|4|6.5
8|4|12.5
8|4|10.5
8|7|8.25
8|7|10.75
8|7|9.5
8|7|8.75
8|7|8.5
8|7|5.5
8|7|9
8|2|5
8|2|5.5
8|2|7.5
8|2|9
8|2|$
8|2|6.5
8|2|1
8|2|$
8|2|8.5
8|8|8
8|8|7
8|8|6
8|8|7
8|8|9
8|8|8
8|8|8
8|8|8
8|8|3
8|8|7
8|1|9.5
8|1|20
8|1|12
8|1|13
8|1|12.5
8|1|11.5
8|1|10
8|1|9
8|1|10.5
8|1|17
8|9|9
8|9|9.5
8|9|8
26|6|11
26|6|$
26|6|9.5
26|6|8
26|6|7
26|5|11.5
26|5|7
26|5|8.5
26|5|8.5
26|10|6.5
26|10|7.5
26|10|9.25
26|10|10.5
26|10|17.25
26|10|12.75
26|10|8.5
26|10|9.5
26|3|8
26|3|4
26|3|6.5
26|3|10
26|3|10
26|3|3
26|3|8
26|3|7.5
26|3|9
26|3|4.5
26|4|1.5
26|4|8.5
26|4|12
26|4|11
26|4|13
26|4|11
26|4|7.5
26|4|6.5
26|4|8
26|7|11.25
26|7|8.75
26|7|9
26|7|7.25
26|7|6.75
26|7|3.25
26|7|7
26|2|9
26|2|12
26|2|7
26|2|10.5
26|2|10
26|2|7
26|2|7
26|2|11
26|2|$
26|2|4
26|8|9
26|8|6
26|8|7
26|8|9
26|8|10
26|8|11
26|8|8
26|8|8
26|8|9
26|8|8
26|1|8
26|1|8.5
26|1|5
26|1|11
26|1|14
26|1|11
26|1|10
26|1|19.5
26|1|15.5
26|9|7
26|9|9
26|9|8.5
39|6|8
39|6|12.5
39|6|8.5
39|6|12
39|6|9
39|6|9
39|5|4.5
39|5|11
39|5|10.5
39|5|10.5
39|10|12
39|10|9.5
39|10|13.75
39|10|9.25
39|10|10.25
39|10|11.75
39|10|13
39|10|10.75
39|10|11.25
39|3|10.5
39|3|11
39|3|7.5
39|3|$
39|3|9.5
39|3|10
39|3|10.5
39|3|11.5
39|3|6.5
39|3|6.5
39|4|3.5
39|4|5.5
39|4|7
39|4|12.5
39|4|6
39|4|4.5
39|4|7.5
39|4|8.5
39|4|5
39|7|7
39|7|13
39|7|4.25
39|7|7
39|7|8
39|7|9.25
39|7|4.5
39|2|5.5
39|2|7.5
39|2|9
39|2|9.5
39|2|7
39|2|7.5
39|2|10.5
39|2|7.5
39|2|6.5
39|2|1.5
39|8|10
39|8|7
39|8|8
39|8|6
39|8|9
39|8|6
39|8|6
39|8|7
39|8|9
39|8|6
39|1|17.5
39|1|10.5
39|1|12.5
39|1|13.5
39|1|13.5
39|1|11
39|1|13
39|1|12
39|1|14.5
39|1|9
39|9|9.5
39|9|7
39|9|9
45|6|10.5
45|6|13
45|6|7
45|6|8
45|6|7
45|6|6.5
45|5|6
45|5|8.5
45|5|9
45|5|8.5
45|10|8.5
45|10|8.5
45|10|12.25
45|10|7.25
45|10|9.75
45|10|12.25
45|10|11.75
45|10|7.25
45|3|4.5
45|3|5.5
45|3|6.5
45|3|10
45|3|10
45|3|11.5
45|3|8.5
45|3|8
45|3|9
45|3|9
45|4|12
45|4|6.5
45|4|12.5
45|4|12
45|4|8.5
45|4|9.5
45|4|9.5
45|4|13
45|4|10
45|7|8.75
45|7|7.25
45|7|10.25
45|7|10.75
45|7|10.25
45|7|7.75
45|2|6
45|2|11
45|2|8
45|2|5.5
45|2|5.5
45|2|7
45|2|4.5
45|2|5
45|2|2.5
45|2|7.5
45|8|7
45|8|6
45|8|9
45|8|9
45|8|9
45|8|7
45|8|6
45|8|8
45|8|6
45|8|5
45|1|11
45|1|12
45|1|13
45|1|11.5
45|1|11.5
45|1|6.5
45|1|9
45|1|12.5
45|1|14.5
45|9|8
45|9|9.5
45|9|7.5
78|6|6.5
78|6|14.5
78|6|18
78|6|13.5
78|6|15
78|6|12
